Time,Temperature (° F),,,Dew Point (° F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,,Precipation (in),,
4/1/18,35,30,24,19,13,7,63,-,32,17,-,5,30.3,-,30.15,-,0,-
4/2/18,44,33,21,29,19,12,81,-,29,16,-,0,30.15,-,29.87,-,0,-
4/3/18,40,37,34,37,35,30,92,-,70,21,-,5,29.85,-,29.5,-,0.2,-
4/4/18,35,31,26,31,21,15,89,-,51,28,-,7,30.24,-,29.65,-,0.01,-
4/5/18,42,33,23,34,23,10,96,-,34,17,-,0,30.25,-,29.9,-,0.07,-
4/6/18,38,32,25,34,21,8,92,-,35,28,-,4,30.13,-,29.83,-,0,-
4/7/18,39,30,20,18,9,3,68,-,29,18,-,0,30.2,-,30.07,-,0,-
4/8/18,39,30,21,26,14,1,85,-,23,15,-,0,30.14,-,30.04,-,0.01,-
4/9/18,39,35,30,31,29,26,92,-,75,12,-,0,30.28,-,30.06,-,0.13,-
4/10/18,46,37,28,28,23,21,92,-,40,15,-,4,30.31,-,30.12,-,0,-
4/11/18,66,53,39,38,33,28,70,-,37,18,-,0,30.08,-,29.79,-,0.05,-
4/12/18,73,58,42,46,42,35,93,-,38,25,-,0,29.77,-,29.6,-,0.03,-
4/13/18,47,43,39,39,37,35,92,-,76,33,-,6,29.84,-,29.68,-,0.07,-
4/14/18,39,38,36,36,35,32,92,-,85,31,-,14,29.88,-,29.75,-,0.96,-
4/15/18,37,33,28,34,31,24,96,-,85,24,-,8,29.83,-,29.66,-,0.74,-
4/16/18,35,31,27,24,23,22,85,-,61,24,-,12,29.93,-,29.77,-,0.01,-
4/17/18,43,36,29,24,21,18,69,-,41,22,-,5,29.97,-,29.89,-,0,-
4/18/18,37,34,30,32,29,24,100,-,64,25,-,0,29.96,-,29.75,-,0.41,-
4/19/18,55,43,31,33,27,22,100,-,28,15,-,6,30.44,-,30,-,0.01,-
4/20/18,61,46,31,25,19,10,59,-,16,15,-,0,30.53,-,30.43,-,0,-
4/21/18,55,47,39,26,20,16,48,-,28,14,-,0,30.46,-,30.36,-,0,-
