Time,Temperature (° F),,,Dew Point (° F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,,Precipation (in),,
4/1/18,70,63,55,52,52,51,86,-,58,8,-,0,29.99,-,29.87,-,0,-
4/2/18,69,63,56,52,50,48,80,-,47,8,-,0,29.9,-,29.83,-,0,-
4/3/18,70,63,55,53,52,49,93,-,53,9,-,0,30.02,-,29.9,-,0,-
4/4/18,66,60,54,54,53,52,93,-,63,9,-,0,30.07,-,30,-,0,-
4/5/18,68,63,57,54,53,51,86,-,63,7,-,0,30.06,-,29.96,-,0,-
4/6/18,70,63,55,55,52,50,83,-,55,9,-,0,30,-,29.93,-,0,-
4/7/18,72,66,59,59,56,53,87,-,61,9,-,0,29.99,-,29.92,-,0,-
4/8/18,75,65,55,55,52,44,86,-,35,9,-,0,29.99,-,29.88,-,0,-
4/9/18,95,76,56,53,45,29,86,-,10,10,-,0,29.98,-,29.88,-,0,-
4/10/18,88,75,61,56,51,37,78,-,25,6,-,0,30.01,-,29.94,-,0,-
4/11/18,80,69,58,56,53,50,80,-,39,13,-,0,29.97,-,29.91,-,0,-
4/12/18,70,63,55,50,33,20,72,-,15,15,-,0,30.07,-,29.95,-,0,-
4/13/18,79,68,56,47,33,24,56,-,13,9,-,0,30.2,-,30.08,-,0,-
4/14/18,87,72,57,47,32,20,60,-,8,9,-,0,30.2,-,30.07,-,0,-
4/15/18,79,67,55,52,42,28,80,-,16,9,-,0,30.06,-,29.93,-,0,-
4/16/18,65,59,52,52,45,39,86,-,43,17,-,0,30.1,-,29.95,-,0,-
4/17/18,71,61,51,41,34,25,59,-,20,10,-,0,30.17,-,30.03,-,0,-
4/18/18,72,63,53,50,41,30,72,-,28,9,-,0,30.05,-,29.97,-,0,-
4/19/18,63,57,51,49,45,42,77,-,48,10,-,0,30.04,-,29.99,-,0.02,-
4/20/18,74,64,54,52,48,46,83,-,38,10,-,0,30.14,-,30.05,-,0,-
4/21/18,83,68,53,53,50,45,93,-,28,8,-,0,30.08,-,29.94,-,0,-
4/22/18,79,68,57,56,53,48,87,-,38,9,-,0,29.96,-,29.88,-,0,-
4/23/18,76,66,55,57,55,52,93,-,53,9,-,0,30.02,-,29.95,-,0,-
4/24/18,70,62,53,54,52,51,93,-,57,9,-,0,30.05,-,29.97,-,0,-
4/25/18,70,63,55,53,52,50,93,-,51,8,-,0,30.08,-,30,-,0,-
4/26/18,71,63,55,52,52,50,86,-,49,9,-,0,30.04,-,29.95,-,0,-
4/27/18,70,63,55,52,51,49,86,-,53,9,-,0,30.03,-,29.94,-,0,-
4/28/18,70,62,54,54,51,48,83,-,56,12,-,0,29.96,-,29.89,-,0,-
4/29/18,69,62,55,53,50,49,80,-,52,8,-,0,29.99,-,29.91,-,0,-
4/30/18,68,62,55,53,51,48,86,-,56,9,-,0,30,-,29.88,-,0,-
5/1/18,61,58,55,50,47,42,83,-,51,10,-,0,29.93,-,29.85,-,0.01,-
5/2/18,65,60,54,51,49,47,93,-,56,9,-,0,30.14,-,29.91,-,0,-
5/3/18,69,61,52,52,50,48,89,-,49,10,-,0,30.17,-,30.1,-,0,-
5/4/18,90,73,56,54,51,45,93,-,22,12,-,0,30.14,-,30.01,-,0,-
5/5/18,86,73,59,55,52,46,78,-,27,8,-,0,30.01,-,29.88,-,0,-
5/6/18,83,71,58,56,53,50,84,-,39,8,-,0,30.01,-,29.93,-,0,-
5/7/18,76,66,55,56,54,48,93,-,41,8,-,0,30.06,-,29.97,-,0,-
5/8/18,76,67,58,57,56,54,93,-,49,8,-,0,30.03,-,29.92,-,0,-
5/9/18,75,67,59,57,56,55,90,-,57,10,-,0,29.97,-,29.84,-,0,-
5/10/18,76,68,60,58,56,52,90,-,54,9,-,0,29.89,-,29.8,-,0,-
5/11/18,65,63,60,56,54,52,84,-,63,8,-,0,29.88,-,29.81,-,0,-
5/12/18,66,62,57,55,53,50,86,-,58,8,-,0,30.01,-,29.88,-,0,-
5/13/18,70,64,58,56,52,50,80,-,53,10,-,0,30.07,-,29.94,-,0.03,-
5/14/18,72,64,56,54,52,49,83,-,58,9,-,0,29.99,-,29.93,-,0,-
5/15/18,71,65,58,53,52,51,80,-,49,10,-,0,30.05,-,29.97,-,0,-
5/16/18,75,66,57,53,51,46,80,-,44,9,-,0,30.03,-,29.94,-,0,-
5/17/18,74,66,57,54,52,50,80,-,49,8,-,0,29.96,-,29.94,-,0,-
5/18/18,70,65,59,55,54,52,84,-,57,9,-,0,29.96,-,29.89,-,0,-
5/19/18,68,63,58,56,55,52,87,-,63,9,-,0,29.94,-,29.88,-,0,-
5/20/18,70,65,60,56,55,52,84,-,61,9,-,0,29.94,-,29.87,-,0,-
5/21/18,67,64,60,58,54,51,84,-,63,7,-,0,29.89,-,29.84,-,0.04,-
5/22/18,68,64,59,54,52,51,78,-,58,8,-,0,29.93,-,29.87,-,0,-
5/23/18,69,64,59,55,54,53,80,-,61,12,-,0,30.03,-,29.92,-,0,-
5/24/18,67,64,60,57,55,52,90,-,67,9,-,0,30.09,-,30.01,-,0,-
5/25/18,69,63,57,53,52,49,80,-,49,12,-,0,30.12,-,30.03,-,0,-
5/26/18,72,65,57,53,52,49,86,-,51,10,-,0,30.04,-,29.94,-,0,-
5/27/18,74,66,58,55,53,51,80,-,53,6,-,0,29.97,-,29.88,-,0,-
5/28/18,73,66,58,57,56,55,90,-,57,9,-,0,29.97,-,29.84,-,0,-
5/29/18,72,67,61,58,57,56,84,-,61,10,-,0,29.89,-,29.81,-,0,-
5/30/18,70,65,60,58,57,55,90,-,61,9,-,0,29.9,-,29.83,-,0,-
5/31/18,72,66,60,56,54,51,78,-,53,12,-,0,29.94,-,29.86,-,0,-
6/1/18,75,67,58,56,54,52,86,-,49,8,-,0,29.99,-,29.93,-,0,-
6/2/18,80,70,59,58,54,48,84,-,36,9,-,0,29.98,-,29.9,-,0,-
6/3/18,79,70,60,60,58,57,90,-,48,8,-,0,29.93,-,29.83,-,0,-
6/4/18,77,69,60,60,57,56,90,-,54,9,-,0,29.89,-,29.82,-,0,-
6/5/18,73,68,62,58,57,56,84,-,61,8,-,0,29.92,-,29.85,-,0,-
6/6/18,74,67,60,57,56,53,84,-,57,8,-,0,29.92,-,29.85,-,0,-
6/7/18,77,68,58,57,54,53,80,-,50,9,-,0,29.96,-,29.88,-,0,-
6/8/18,81,70,59,57,55,52,80,-,42,9,-,0,29.94,-,29.86,-,0,-
6/9/18,82,72,62,61,57,52,87,-,45,8,-,0,29.93,-,29.83,-,0,-
6/10/18,80,71,62,60,55,52,78,-,46,9,-,0,29.9,-,29.79,-,0,-
6/11/18,81,72,63,61,57,49,87,-,35,9,-,0,29.82,-,29.74,-,0,-
6/12/18,84,74,63,62,60,55,87,-,47,8,-,0,29.84,-,29.78,-,0,-
6/13/18,80,71,61,61,60,58,93,-,54,8,-,0,29.84,-,29.78,-,0,-
6/14/18,88,75,61,61,59,51,90,-,29,10,-,0,29.86,-,29.73,-,0,-
6/15/18,82,73,63,61,59,57,90,-,51,9,-,0,29.81,-,29.73,-,0,-
6/16/18,75,70,64,58,54,49,78,-,53,10,-,0,29.87,-,29.76,-,0,-
