Time,Temperature (° F),,,Dew Point (° F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,,Precipation (in),,
4/1/18,60,52,43,38,28,15,51,-,28,14,-,4,30.09,-,29.95,-,0,-
4/2/18,43,38,33,32,29,16,96,-,33,16,-,0,30.19,-,30.06,-,0.59,-
4/3/18,43,41,39,40,36,31,93,-,70,12,-,0,30.21,-,29.86,-,0.26,-
4/4/18,56,48,40,51,40,18,100,-,28,22,-,0,29.9,-,29.43,-,0.04,-
4/5/18,45,40,34,21,13,9,48,-,22,20,-,4,30.12,-,29.86,-,0,-
4/6/18,62,50,37,41,31,15,92,-,29,15,-,0,30.14,-,29.65,-,0.11,-
4/7/18,49,43,37,36,21,10,70,-,23,16,-,4,29.92,-,29.68,-,0,-
4/8/18,46,39,32,17,14,10,51,-,25,18,-,4,30.05,-,29.85,-,0,-
4/9/18,49,41,32,30,17,11,65,-,24,14,-,0,30.22,-,30.06,-,0,-
4/10/18,51,45,38,34,28,18,79,-,31,12,-,0,30.2,-,30.11,-,0.01,-
4/11/18,51,44,37,32,22,12,58,-,24,13,-,0,30.21,-,30.06,-,0,-
4/12/18,63,55,46,42,35,28,64,-,36,15,-,0,30.11,-,29.79,-,0,-
4/13/18,82,71,60,48,43,40,49,-,22,18,-,0,29.93,-,29.79,-,0,-
4/14/18,77,61,44,50,47,40,83,-,38,21,-,0,30.2,-,29.84,-,0,-
4/15/18,44,41,38,37,34,30,92,-,62,22,-,7,30.34,-,30.14,-,0.47,-
4/16/18,60,50,39,57,42,36,96,-,65,28,-,4,30.11,-,29.42,-,2.82,-
4/17/18,47,43,39,35,30,24,70,-,45,17,-,5,29.74,-,29.6,-,0,-
4/18/18,55,46,37,31,26,23,64,-,35,18,-,0,29.81,-,29.75,-,0,-
4/19/18,49,44,38,39,34,22,82,-,43,18,-,0,30.01,-,29.61,-,0.15,-
4/20/18,50,44,37,24,23,21,59,-,33,20,-,0,30.37,-,30.02,-,0,-
4/21/18,63,51,39,25,22,17,54,-,19,15,-,0,30.41,-,30.26,-,0,-
4/22/18,67,56,44,29,19,12,41,-,13,13,-,0,30.42,-,30.32,-,0,-
4/23/18,68,57,46,39,30,20,63,-,18,15,-,0,30.49,-,30.4,-,0,-
4/24/18,66,56,46,51,40,32,86,-,34,15,-,0,30.42,-,30.15,-,0.05,-
4/25/18,60,56,52,59,55,50,100,-,86,12,-,0,30.16,-,29.64,-,0.95,-
4/26/18,70,63,55,56,49,38,100,-,34,15,-,0,29.87,-,29.59,-,0.1,-
4/27/18,59,55,51,50,47,40,96,-,47,10,-,0,29.88,-,29.74,-,0.05,-
4/28/18,68,59,50,52,49,47,93,-,52,14,-,0,29.88,-,29.75,-,0.1,-
4/29/18,59,54,49,51,40,31,96,-,40,12,-,0,30.03,-,29.85,-,0.08,-
4/30/18,51,48,44,40,33,23,71,-,36,16,-,0,30.05,-,29.99,-,0,-
5/1/18,80,64,48,38,30,21,66,-,12,14,-,0,30.08,-,30.01,-,0,-
5/2/18,90,78,65,43,36,32,31,-,13,16,-,4,30.1,-,29.96,-,0,-
5/3/18,92,81,70,69,53,41,90,-,29,15,-,0,30.02,-,29.88,-,0.02,-
5/4/18,84,78,72,64,62,51,73,-,40,18,-,0,29.96,-,29.75,-,0,-
5/5/18,76,69,61,48,41,33,46,-,21,14,-,0,30.1,-,29.86,-,0,-
5/6/18,66,61,56,51,48,40,80,-,43,14,-,0,30.08,-,29.86,-,0,-
5/7/18,77,66,54,52,50,46,89,-,36,10,-,0,30.2,-,29.94,-,0,-
5/8/18,74,64,53,50,48,46,77,-,44,8,-,0,30.28,-,30.2,-,0,-
5/9/18,77,66,54,51,47,39,89,-,34,10,-,0,30.2,-,30.08,-,0,-
5/10/18,66,60,54,60,53,51,93,-,63,9,-,0,30.12,-,29.8,-,0.25,-
5/11/18,73,67,60,59,41,28,97,-,20,13,-,0,30.12,-,29.83,-,0,-
5/12/18,63,57,51,53,50,37,96,-,46,12,-,0,30.18,-,30.02,-,0.22,-
5/13/18,54,53,52,52,50,47,100,-,77,10,-,0,30.19,-,30.06,-,0.1,-
5/14/18,71,62,52,59,54,51,100,-,63,9,-,0,30.06,-,29.92,-,0.03,-
5/15/18,88,75,61,67,63,57,100,-,50,15,-,0,30.02,-,29.72,-,0.58,-
5/16/18,64,60,56,59,57,55,100,-,73,9,-,0,30.15,-,30.01,-,0.34,-
5/17/18,71,64,56,64,59,55,100,-,73,8,-,0,30.09,-,29.97,-,0.22,-
5/18/18,67,62,56,64,48,32,93,-,37,16,-,0,30.38,-,30.09,-,0,-
5/19/18,56,53,49,55,51,35,100,-,47,14,-,0,30.39,-,30.07,-,0.65,-
5/20/18,81,69,56,69,61,53,100,-,54,13,-,0,30.09,-,29.92,-,0,-
5/21/18,79,69,58,53,49,43,86,-,29,10,-,0,30.21,-,30.08,-,0,-
