Time,Temperature (° F),,,Dew Point (° F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,,Precipation (in),,
4/1/18,67,59,50,43,36,31,63,-,40,21,-,5,30.09,-,30.01,-,0,-
4/2/18,54,48,42,40,37,35,82,-,54,24,-,4,30.19,-,29.95,-,0.02,-
4/3/18,56,50,44,48,41,35,89,-,65,21,-,0,30.18,-,29.81,-,0.01,-
4/4/18,73,58,42,57,37,17,93,-,24,31,-,0,30.05,-,29.52,-,0,-
4/5/18,56,45,34,29,19,15,47,-,24,22,-,0,30.24,-,30.08,-,0,-
4/6/18,72,58,44,38,32,26,76,-,19,29,-,5,30.14,-,29.68,-,0,-
4/7/18,67,52,37,38,25,14,70,-,30,26,-,0,29.98,-,29.68,-,0,-
4/8/18,51,43,34,18,16,15,47,-,24,22,-,9,30.11,-,29.91,-,0,-
4/9/18,46,42,38,38,26,15,86,-,33,14,-,0,30.27,-,30.12,-,0.02,-
4/10/18,55,47,38,37,29,20,86,-,26,20,-,5,30.25,-,30.15,-,0,-
4/11/18,57,50,43,35,29,24,56,-,35,16,-,0,30.24,-,30.08,-,0,-
4/12/18,78,62,45,41,38,34,65,-,24,32,-,6,30.15,-,29.82,-,0,-
4/13/18,86,73,60,48,45,41,55,-,25,25,-,10,30.02,-,29.87,-,0,-
4/14/18,85,74,63,57,54,49,67,-,34,26,-,7,30,-,29.86,-,0,-
4/15/18,69,59,48,59,49,44,93,-,63,26,-,7,30.08,-,29.73,-,0.13,-
4/16/18,62,54,45,59,47,28,90,-,42,24,-,0,29.76,-,29.45,-,1.88,-
4/17/18,49,45,40,27,23,21,49,-,36,23,-,8,29.89,-,29.77,-,0,-
4/18/18,62,49,36,41,30,21,63,-,36,16,-,0,29.96,-,29.7,-,0,-
4/19/18,59,51,43,47,35,23,77,-,35,33,-,0,30.17,-,29.62,-,0.03,-
4/20/18,61,50,38,27,24,21,48,-,26,24,-,7,30.39,-,30.18,-,0,-
4/21/18,63,53,42,36,29,24,57,-,30,15,-,0,30.51,-,30.35,-,0,-
4/22/18,67,58,48,44,40,36,71,-,39,16,-,0,30.43,-,30.33,-,0,-
